country,year,infant_mortality,life_expectancy,fertility,population,gdp,continent,region
Antigua and Barbuda,1960,NA,62.97,4.43,54681,NA,Americas,Caribbean
Argentina,1960,59.87,65.39,3.11,20619075,108322326649,Americas,South America
Aruba,1960,NA,65.66,4.82,54208,NA,Americas,Caribbean
Bahamas,1960,51,62,4.5,109526,1306269490,Americas,Caribbean
Barbados,1960,69.5,61.8,4.33,230934,784120376,Americas,Caribbean
Belize,1960,NA,60.08,6.5,92068,86532304,Americas,Central America
Bolivia,1960,173.4,43.77,6.7,3693451,3001815692,Americas,South America
Brazil,1960,129.4,55.27,6.21,72493585,105343379555,Americas,South America
Canada,1960,27.8,71,3.91,17909232,167894860728,Americas,Northern America
Chile,1960,127.6,56.85,5.58,7695692,14087170195,Americas,South America
Colombia,1960,89.3,58.03,6.81,16480384,19017657851,Americas,South America
Costa Rica,1960,86.54,61.97,7.31,1333042,2398494445,Americas,Central America
Cuba,1960,37,63.85,4.18,7141129,NA,Americas,Caribbean
Dominican Republic,1960,102.1,53.37,7.56,3294039,3019307866,Americas,Caribbean
Ecuador,1960,121.4,54.09,6.69,4545548,3641530019,Americas,South America
El Salvador,1960,126.2,52.02,6.73,2762897,4017741905,Americas,Central America
Greenland,1960,NA,61.49,7.25,31238,NA,Americas,Northern America
Grenada,1960,NA,60.59,6.74,89861,NA,Americas,Caribbean
Guatemala,1960,146,46.51,6.53,4127555,3989089865,Americas,Central America
Guyana,1960,67.7,59.08,5.67,564222,385886207,Americas,South America
Haiti,1960,194.8,42.1,6.32,3866160,NA,Americas,Caribbean
Honduras,1960,140.9,47.71,7.46,2002333,1502038539,Americas,Central America
Jamaica,1960,62,65.91,5.42,1630914,NA,Americas,Caribbean
Mexico,1960,100.6,57.34,6.78,38174114,94354817785,Americas,Central America
Nicaragua,1960,134,50.69,7.34,1774696,2103502588,Americas,Central America
Panama,1960,66.9,61.62,5.87,1132924,1930103379,Americas,Central America
Paraguay,1960,62.6,66.35,6.5,1902871,1263290494,Americas,South America
Peru,1960,135.9,48.95,6.88,10061519,16356280982,Americas,South America
Puerto Rico,1960,NA,68.58,4.66,2355570,8883563977,Americas,Caribbean
St. Lucia,1960,NA,56.97,6.97,89901,NA,Americas,Caribbean
St. Vincent and the Grenadines,1960,NA,57.85,7.22,80948,107215633,Americas,Caribbean
Suriname,1960,NA,60.58,6.61,289972,NA,Americas,South America
Trinidad and Tobago,1960,56.6,63.07,5.26,848481,2811586619,Americas,Caribbean
United States,1960,25.9,69.91,3.67,186176524,2479391093100,Americas,Northern America
Uruguay,1960,57.7,67.95,2.88,2538651,10614613898,Americas,South America
Venezuela,1960,59.9,60.08,6.62,8146845,41118729573,Americas,South America
Antigua and Barbuda,1961,NA,63.46,4.39,55403,NA,Americas,Caribbean
Argentina,1961,59.73,65.53,3.1,20953079,114201892335,Americas,South America
Aruba,1961,NA,66.07,4.66,55435,NA,Americas,Caribbean
Bahamas,1961,NA,62.29,4.5,115108,1445610547,Americas,Caribbean
Barbados,1961,65,62.31,4.31,231674,844470434.1,Americas,Caribbean
Belize,1961,NA,60.64,6.48,94701,90765704,Americas,Central America
Bolivia,1961,170.5,44.14,6.67,3764815,3064252968,Americas,South America
Brazil,1961,126.1,55.78,6.19,74706888,116168372089,Americas,South America
Canada,1961,27,71.22,3.85,18295922,173205864895,Americas,Northern America
Chile,1961,121.1,57.23,5.54,7873504,14657690860,Americas,South America
Colombia,1961,87.6,58.63,6.8,16982313,20019008355,Americas,South America
Costa Rica,1961,83.56,62.56,7.3,1381920,2375566267,Americas,Central America
Cuba,1961,NA,64.47,4.36,7289828,NA,Americas,Caribbean
Dominican Republic,1961,101,54.17,7.49,3406299,2949463771,Americas,Caribbean
Ecuador,1961,118.2,54.77,6.67,4676858,3697721716,Americas,South America
El Salvador,1961,123.9,52.77,6.75,2843246,4159510750,Americas,Central America
Greenland,1961,NA,61.85,7.31,32474,NA,Americas,Northern America
Grenada,1961,NA,61.05,6.63,91260,NA,Americas,Caribbean
Guatemala,1961,143.3,47.12,6.51,4240084,4160561630,Americas,Central America
Guyana,1961,65.1,59.24,5.58,582034,403982434.6,Americas,South America
Haiti,1961,191.5,42.68,6.32,3943363,NA,Americas,Caribbean
Honduras,1961,136.6,48.47,7.45,2069085,1529911259,Americas,Central America
Jamaica,1961,59.8,66.57,5.53,1654461,NA,Americas,Caribbean
Mexico,1961,97.7,57.95,6.78,39394125,99075314540,Americas,Central America
Nicaragua,1961,132.5,51.53,7.26,1830400,1741191321,Americas,Central America
Panama,1961,65.3,62.17,5.85,1167041,2137615699,Americas,Central America
Paraguay,1961,62,66.7,6.49,1953331,1352424687,Americas,South America
Peru,1961,132.6,49.56,6.87,10350239,17558476237,Americas,South America
Puerto Rico,1961,NA,68.8,4.55,2395612,9731036209,Americas,Caribbean
