country,year,infant_mortality,life_expectancy,fertility,population,gdp,continent,region
Armenia,1960,NA,66.86,4.55,1867396,NA,Asia,Western Asia
Azerbaijan,1960,NA,61.33,5.57,3897889,NA,Asia,Western Asia
Bahrain,1960,134.5,51.64,7.09,162501,NA,Asia,Western Asia
Bangladesh,1960,176.3,46.2,6.73,48200702,12767231590,Asia,Southern Asia
Bhutan,1960,175,35.94,6.67,224108,NA,Asia,Southern Asia
Brunei,1960,63,62.52,6.49,81825,NA,Asia,South-Eastern Asia
Cambodia,1960,NA,42.29,6.97,5722370,NA,Asia,South-Eastern Asia
China,1960,190,30.53,3.99,644450173,70348527260,Asia,Eastern Asia
Cyprus,1960,30,69.72,3.5,572929,NA,Asia,Western Asia
Georgia,1960,NA,63.5,2.96,4159769,NA,Asia,Western Asia
"Hong Kong, China",1960,NA,67.45,5.16,3075752,NA,Asia,Eastern Asia
India,1960,165.1,41.26,5.87,449661874,81042654922,Asia,Southern Asia
Indonesia,1960,148.4,45.01,5.67,87792512,18448917543,Asia,South-Eastern Asia
Iran,1960,191.61,46,6.93,21906905,NA,Asia,Southern Asia
Iraq,1960,131.7,46.96,6.25,7289759,NA,Asia,Western Asia
Israel,1960,32,68.55,3.84,2089891,12313161088,Asia,Western Asia
Japan,1960,30.4,67.78,2,92500754,719165142029,Asia,Eastern Asia
Jordan,1960,107.5,53.3,7.69,888632,NA,Asia,Western Asia
Kazakhstan,1960,NA,58.91,4.56,9995997,NA,Asia,Central Asia
South Korea,1960,80.2,53.02,6.16,25074028,28928298962,Asia,Eastern Asia
Kuwait,1960,101.6,62.15,7.25,261962,NA,Asia,Western Asia
Kyrgyz Republic,1960,NA,56.09,5.17,2172500,NA,Asia,Central Asia
Lao,1960,155,42.13,5.96,2119944,NA,Asia,South-Eastern Asia
Lebanon,1960,57.6,62.9,5.74,1804927,NA,Asia,Western Asia
"Macao, China",1960,NA,64.93,4.95,171456,NA,Asia,Eastern Asia
Malaysia,1960,67.4,59.89,6.19,8160975,6631037036,Asia,South-Eastern Asia
Maldives,1960,NA,38.07,7.02,89875,NA,Asia,Southern Asia
Mongolia,1960,NA,49.2,6.95,955514,NA,Asia,Eastern Asia
Nepal,1960,219.6,39.8,5.99,10056945,1354713257,Asia,Southern Asia
Oman,1960,164,44.64,7.25,551737,538829577,Asia,Western Asia
Pakistan,1960,192,46.79,6.6,44911810,8608436616,Asia,Southern Asia
Philippines,1960,67.9,58.82,7.15,26273023,17990832237,Asia,South-Eastern Asia
Qatar,1960,94,60.82,6.97,47309,NA,Asia,Western Asia
Saudi Arabia,1960,150,47.62,7.22,4086539,NA,Asia,Western Asia
Singapore,1960,35.5,65.02,5.82,1633718,3705795365,Asia,South-Eastern Asia
Sri Lanka,1960,72.7,59.76,5.54,9896172,2708601390,Asia,Southern Asia
Syria,1960,121.8,52.87,7.47,4592777,2203477369,Asia,Western Asia
Tajikistan,1960,NA,57.1,6.24,2064035,NA,Asia,Central Asia
Thailand,1960,102.2,55.46,6.15,27397178,8764726641,Asia,South-Eastern Asia
Timor-Leste,1960,NA,37.74,6.37,499525,NA,Asia,South-Eastern Asia
Turkey,1960,166,46.91,6.3,27553280,44566050533,Asia,Western Asia
Turkmenistan,1960,NA,54.91,6.42,1593501,NA,Asia,Central Asia
United Arab Emirates,1960,137.3,51.85,6.93,92612,NA,Asia,Western Asia
Uzbekistan,1960,NA,59.35,6.71,8789492,NA,Asia,Central Asia
West Bank and Gaza,1960,NA,50.82,7.69,1069399,NA,Asia,Western Asia
Vietnam,1960,75.6,58.52,6.35,32670623,NA,Asia,South-Eastern Asia
Yemen,1960,225,32.64,7.29,5166311,NA,Asia,Western Asia
Armenia,1961,NA,67.33,4.51,1934239,NA,Asia,Western Asia
Azerbaijan,1961,NA,61.76,5.6,4030130,NA,Asia,Western Asia
Bahrain,1961,123.8,52.99,7.13,167924,NA,Asia,Western Asia
Bangladesh,1961,171.7,46.73,6.76,49593610,13540691011,Asia,Southern Asia
Bhutan,1961,NA,36.49,6.67,229297,NA,Asia,Southern Asia
Brunei,1961,NA,63.11,6.49,85687,NA,Asia,South-Eastern Asia
Cambodia,1961,NA,42.47,6.96,5872247,NA,Asia,South-Eastern Asia
China,1961,161,32.95,3.28,654625069,51282752582,Asia,Eastern Asia
Cyprus,1961,NA,70.06,3.47,576395,NA,Asia,Western Asia
Georgia,1961,NA,63.9,2.97,4225733,NA,Asia,Western Asia
"Hong Kong, China",1961,NA,68.01,5.21,3227426,10490975371,Asia,Eastern Asia
India,1961,162.5,41.99,5.86,458691457,84059664307,Asia,Southern Asia
Indonesia,1961,144.8,45.83,5.66,90138235,19575208346,Asia,South-Eastern Asia
Iran,1961,183.85,46.61,6.92,22480420,NA,Asia,Southern Asia
Iraq,1961,124.7,48.11,6.36,7475354,NA,Asia,Western Asia
Israel,1961,NA,68.85,3.84,2174271,13692713599,Asia,Western Asia
Japan,1961,27.9,68.43,1.98,93357259,805778057743,Asia,Eastern Asia
Jordan,1961,101.9,54.12,7.8,927850,NA,Asia,Western Asia
Kazakhstan,1961,NA,59.38,4.51,10411040,NA,Asia,Central Asia
South Korea,1961,76.1,53.75,5.99,25808542,30356298714,Asia,Eastern Asia
Kuwait,1961,95.2,62.98,7.28,294639,NA,Asia,Western Asia
Kyrgyz Republic,1961,NA,56.54,5.26,2245062,NA,Asia,Central Asia
Lao,1961,NA,42.38,5.96,2169287,NA,Asia,South-Eastern Asia
Lebanon,1961,56.1,63.19,5.72,1864605,NA,Asia,Western Asia
"Macao, China",1961,NA,65.42,4.76,175135,NA,Asia,Eastern Asia
Malaysia,1961,64.2,60.48,6.14,8429369,7134862821,Asia,South-Eastern Asia
Maldives,1961,NA,38.82,7.08,92327,NA,Asia,Southern Asia
Mongolia,1961,NA,50.15,7.17,982180,NA,Asia,Eastern Asia
Nepal,1961,216.7,40.26,5.99,10215153,1380564790,Asia,Southern Asia
Oman,1961,237.2,45.57,7.25,564895,544970113.4,Asia,Western Asia
Pakistan,1961,184.8,47.73,6.6,45988447,9123853537,Asia,Southern Asia
Philippines,1961,65.9,59.17,7.09,27164618,19001301599,Asia,South-Eastern Asia
Qatar,1961,NA,61.57,6.97,51355,NA,Asia,Western Asia
Saudi Arabia,1961,NA,48.22,7.23,4218879,NA,Asia,Western Asia
Singapore,1961,32.9,65.41,5.56,1690353,4217950558,Asia,South-Eastern Asia
Sri Lanka,1961,69.8,60.18,5.42,10129134,2823071268,Asia,Southern Asia
Syria,1961,116,53.43,7.5,4742596,2442181480,Asia,Western Asia
Tajikistan,1961,NA,57.57,6.27,2140413,NA,Asia,Central Asia
Thailand,1961,99,56.01,6.15,28224208,9234702982,Asia,South-Eastern Asia
Timor-Leste,1961,NA,38.45,6.38,508311,NA,Asia,South-Eastern Asia
Turkey,1961,161.6,47.71,6.24,28229291,45081264990,Asia,Western Asia
Turkmenistan,1961,NA,55.36,6.54,1649914,NA,Asia,Central Asia
United Arab Emirates,1961,130.5,52.89,6.91,100985,NA,Asia,Western Asia
Uzbekistan,1961,NA,59.8,6.76,9044671,NA,Asia,Central Asia
West Bank and Gaza,1961,NA,51.43,7.8,1096903,NA,Asia,Western Asia
Vietnam,1961,72.6,59.17,6.39,33666768,NA,Asia,South-Eastern Asia
Yemen,1961,269.2,33.58,7.31,5251663,NA,Asia,Western Asia
Armenia,1962,NA,67.82,4.44,2002170,NA,Asia,Western Asia
Azerbaijan,1962,NA,62.2,5.59,4167558,NA,Asia,Western Asia
Bahrain,1962,114.1,54.33,7.17,173107,NA,Asia,Western Asia
Bangladesh,1962,167.6,47.28,6.79,51030604,14279069088,Asia,Southern Asia
Bhutan,1962,NA,37.04,6.67,234703,NA,Asia,Southern Asia
Brunei,1962,NA,63.67,6.45,89603,NA,Asia,South-Eastern Asia
Cambodia,1962,NA,42.7,6.96,6026696,NA,Asia,South-Eastern Asia
China,1962,110,43.29,5.97,665426760,48151766858,Asia,Eastern Asia
Cyprus,1962,NA,70.38,3.42,577691,NA,Asia,Western Asia
Georgia,1962,NA,64.31,2.95,4292101,NA,Asia,Western Asia
"Hong Kong, China",1962,NA,68.55,5.18,3391625,12021980539,Asia,Eastern Asia
India,1962,160.1,42.72,5.84,468054145,86523560442,Asia,Southern Asia
