country,year,infant_mortality,life_expectancy,fertility,population,gdp,continent,region
Australia,1960,20.3,70.87,3.45,10292328,96677859364,Oceania,Australia and New Zealand
Fiji,1960,54,55.7,6.46,393383,437079701,Oceania,Melanesia
French Polynesia,1960,NA,56.28,5.66,78083,NA,Oceania,Polynesia
Kiribati,1960,NA,45.84,6.95,41234,NA,Oceania,Micronesia
"Micronesia, Fed. Sts.",1960,NA,56.82,6.93,44539,NA,Oceania,Micronesia
New Caledonia,1960,NA,56.38,5.22,78058,NA,Oceania,Melanesia
New Zealand,1960,22.6,71.28,3.54,2371999,NA,Oceania,Australia and New Zealand
Papua New Guinea,1960,134.6,38.6,6.28,1966957,837055577,Oceania,Melanesia
Samoa,1960,92,51.45,7.65,108645,NA,Oceania,Polynesia
Solomon Islands,1960,131.8,50.55,6.39,117869,NA,Oceania,Melanesia
Tonga,1960,NA,61.2,7.36,61600,NA,Oceania,Polynesia
Vanuatu,1960,106.7,45.97,7.2,63701,NA,Oceania,Melanesia
Australia,1961,20,71.14,3.55,10494911,98950410413,Oceania,Australia and New Zealand
Fiji,1961,52.1,56.12,6.28,407152,452454345,Oceania,Melanesia
French Polynesia,1961,NA,56.71,5.58,80706,NA,Oceania,Polynesia
Kiribati,1961,NA,46.24,7.01,42261,NA,Oceania,Micronesia
"Micronesia, Fed. Sts.",1961,NA,57.18,6.92,45956,NA,Oceania,Micronesia
New Caledonia,1961,NA,57.06,5.22,80585,NA,Oceania,Melanesia
New Zealand,1961,21.7,71,3.61,2423769,NA,Oceania,Australia and New Zealand
Papua New Guinea,1961,130.7,39.2,6.28,2001048,888794937,Oceania,Melanesia
Samoa,1961,NA,52.04,7.65,112121,NA,Oceania,Polynesia
Solomon Islands,1961,125.4,51.12,6.39,121403,NA,Oceania,Melanesia
Tonga,1961,NA,61.56,7.35,63740,NA,Oceania,Polynesia
Vanuatu,1961,104.1,46.55,7.12,65708,NA,Oceania,Melanesia
Australia,1962,19.5,70.91,3.43,10691220,100302794832,Oceania,Australia and New Zealand
Fiji,1962,50.3,56.54,6.09,421576,468770309.7,Oceania,Melanesia
French Polynesia,1962,NA,57.09,5.5,83654,NA,Oceania,Polynesia
Kiribati,1962,NA,46.64,7.08,43312,NA,Oceania,Micronesia
"Micronesia, Fed. Sts.",1962,NA,57.54,6.91,47387,NA,Oceania,Micronesia
New Caledonia,1962,NA,57.72,5.22,83221,NA,Oceania,Melanesia
New Zealand,1962,20.9,71.26,3.51,2477328,NA,Oceania,Australia and New Zealand
Papua New Guinea,1962,126.9,39.87,6.28,2037165,945447625.3,Oceania,Melanesia
Samoa,1962,NA,52.62,7.63,115786,NA,Oceania,Polynesia
Solomon Islands,1962,119.3,51.69,6.38,125068,NA,Oceania,Melanesia
Tonga,1962,NA,61.91,7.3,66255,NA,Oceania,Polynesia
Vanuatu,1962,101.6,47.14,7.03,67806,NA,Oceania,Melanesia
Australia,1963,19.2,70.97,3.34,10892700,106581315165,Oceania,Australia and New Zealand
Fiji,1963,48.8,56.94,5.88,436208,498578347.6,Oceania,Melanesia
French Polynesia,1963,NA,57.47,5.43,86839,NA,Oceania,Polynesia
Kiribati,1963,122.2,47.03,7.14,44372,NA,Oceania,Micronesia
"Micronesia, Fed. Sts.",1963,NA,57.9,6.9,48875,NA,Oceania,Micronesia
New Caledonia,1963,NA,58.36,5.22,85908,NA,Oceania,Melanesia
New Zealand,1963,20,71.33,3.41,2530791,NA,Oceania,Australia and New Zealand
Papua New Guinea,1963,123.2,40.6,6.28,2075630,983951146.7,Oceania,Melanesia
Samoa,1963,NA,53.21,7.6,119564,NA,Oceania,Polynesia
Solomon Islands,1963,113.7,52.27,6.39,128863,NA,Oceania,Melanesia
Tonga,1963,60.4,62.26,7.23,69000,NA,Oceania,Polynesia
Vanuatu,1963,98.8,47.71,6.94,69962,NA,Oceania,Melanesia
Australia,1964,18.8,70.63,3.15,11114995,114018332823,Oceania,Australia and New Zealand
Fiji,1964,47.5,57.35,5.68,450452,522895396.2,Oceania,Melanesia
French Polynesia,1964,NA,57.85,5.37,90132,NA,Oceania,Polynesia
Kiribati,1964,117.8,47.44,7.2,45424,NA,Oceania,Micronesia
"Micronesia, Fed. Sts.",1964,NA,58.26,6.89,50483,NA,Oceania,Micronesia
New Caledonia,1964,NA,58.99,5.22,88578,NA,Oceania,Melanesia
New Zealand,1964,19.3,71.37,3.22,2581578,NA,Oceania,Australia and New Zealand
Papua New Guinea,1964,119.6,41.39,6.27,2116832,1068278574,Oceania,Melanesia
Samoa,1964,NA,53.8,7.57,123354,NA,Oceania,Polynesia
Solomon Islands,1964,108.4,52.84,6.39,132787,NA,Oceania,Melanesia
Tonga,1964,57,62.6,7.12,71757,NA,Oceania,Polynesia
Vanuatu,1964,95.9,48.29,6.84,72131,NA,Oceania,Melanesia
Australia,1965,18.6,70.96,2.97,11368011,120858336146,Oceania,Australia and New Zealand
Fiji,1965,46.3,57.75,5.48,463884,508775824.3,Oceania,Melanesia
French Polynesia,1965,NA,58.24,5.31,93440,805624423.6,Oceania,Polynesia
Kiribati,1965,113.9,47.84,7.22,46455,NA,Oceania,Micronesia
"Micronesia, Fed. Sts.",1965,NA,58.63,6.89,52238,NA,Oceania,Micronesia
New Caledonia,1965,NA,59.6,5.22,91197,694967526.1,Oceania,Melanesia
New Zealand,1965,18.7,71.3,3.05,2628003,NA,Oceania,Australia and New Zealand
Papua New Guinea,1965,116.1,42.22,6.26,2161103,1177974929,Oceania,Melanesia
Samoa,1965,NA,54.39,7.52,127068,NA,Oceania,Polynesia
Solomon Islands,1965,103.3,53.42,6.42,136847,NA,Oceania,Melanesia
Tonga,1965,53.8,62.94,6.97,74363,NA,Oceania,Polynesia
Vanuatu,1965,92.8,48.87,6.73,74287,NA,Oceania,Melanesia
Australia,1966,18.3,70.79,2.89,11657281,123723654026,Oceania,Australia and New Zealand
Fiji,1966,45.3,58.14,5.28,476329,508775824.3,Oceania,Melanesia
French Polynesia,1966,NA,58.65,5.27,96730,882775676.8,Oceania,Polynesia
Kiribati,1966,110.1,48.23,7.17,47461,NA,Oceania,Micronesia
"Micronesia, Fed. Sts.",1966,NA,58.99,6.9,54201,NA,Oceania,Micronesia
New Caledonia,1966,NA,60.19,5.23,93682,668221160.9,Oceania,Melanesia
New Zealand,1966,18.3,71.16,3.13,2668590,NA,Oceania,Australia and New Zealand
Papua New Guinea,1966,112.7,43.07,6.24,2208422,1246459544,Oceania,Melanesia
Samoa,1966,NA,54.98,7.46,130687,NA,Oceania,Polynesia
Solomon Islands,1966,98.2,54,6.47,141027,NA,Oceania,Melanesia
Tonga,1966,50.7,63.27,6.8,76787,NA,Oceania,Polynesia
Vanuatu,1966,89.8,49.44,6.63,76410,NA,Oceania,Melanesia
Australia,1967,18.3,71.07,2.85,11975795,131482647086,Oceania,Australia and New Zealand
Fiji,1967,44.5,58.52,5.08,487911,576706713.3,Oceania,Melanesia
French Polynesia,1967,NA,59.06,5.22,100031,840939466.6,Oceania,Polynesia
Kiribati,1967,106.5,48.63,7.01,48440,NA,Oceania,Micronesia
"Micronesia, Fed. Sts.",1967,NA,59.36,6.91,56324,NA,Oceania,Micronesia
New Caledonia,1967,NA,60.77,5.26,96068,704310392.2,Oceania,Melanesia
New Zealand,1967,17.9,71.54,3,2704205,NA,Oceania,Australia and New Zealand
Papua New Guinea,1967,109.5,43.92,6.23,2258877,1297196227,Oceania,Melanesia
Samoa,1967,NA,55.57,7.4,134194,NA,Oceania,Polynesia
Solomon Islands,1967,92.8,54.58,6.55,145354,NA,Oceania,Melanesia
Tonga,1967,47.8,63.61,6.59,79048,NA,Oceania,Polynesia
Vanuatu,1967,86.6,50.01,6.53,78518,NA,Oceania,Melanesia
Australia,1968,18.2,70.7,2.89,12305530,138244569180,Oceania,Australia and New Zealand
Fiji,1968,43.9,58.89,4.89,498887,622360093,Oceania,Melanesia
French Polynesia,1968,NA,59.45,5.17,103385,966498474.5,Oceania,Polynesia
Kiribati,1968,103.2,49.02,6.76,49389,NA,Oceania,Micronesia
"Micronesia, Fed. Sts.",1968,NA,59.73,6.92,58404,NA,Oceania,Micronesia
New Caledonia,1968,NA,61.33,5.28,98572,804763047,Oceania,Melanesia
New Zealand,1968,17.5,71.2,3.02,2738283,NA,Oceania,Australia and New Zealand
Papua New Guinea,1968,106.3,44.74,6.21,2313017,1353748650,Oceania,Melanesia
Samoa,1968,NA,56.15,7.33,137503,NA,Oceania,Polynesia
Solomon Islands,1968,87.3,55.16,6.66,149926,NA,Oceania,Melanesia
Tonga,1968,44.9,63.93,6.37,81096,NA,Oceania,Polynesia
Vanuatu,1968,83.4,50.56,6.43,80669,NA,Oceania,Melanesia
Australia,1969,18.1,71.11,2.89,12621240,147986737705,Oceania,Australia and New Zealand
Fiji,1969,43.5,59.26,4.71,509659,638519147.9,Oceania,Melanesia
French Polynesia,1969,NA,59.83,5.12,106858,940538895.6,Oceania,Polynesia
Kiribati,1969,100,49.42,6.43,50303,NA,Oceania,Micronesia
"Micronesia, Fed. Sts.",1969,NA,60.1,6.94,60167,NA,Oceania,Micronesia
New Caledonia,1969,NA,61.89,5.3,101494,931242129.5,Oceania,Melanesia
New Zealand,1969,17.2,71.57,3.01,2775684,NA,Oceania,Australia and New Zealand
Papua New Guinea,1969,103.1,45.53,6.19,2371515,1465750490,Oceania,Melanesia
Samoa,1969,NA,56.75,7.27,140520,NA,Oceania,Polynesia
Solomon Islands,1969,81.9,55.74,6.78,154876,NA,Oceania,Melanesia
Tonga,1969,42.1,64.26,6.15,82879,NA,Oceania,Polynesia
Vanuatu,1969,80.4,51.12,6.35,82941,NA,Oceania,Melanesia
Australia,1970,17.8,70.78,2.86,12904760,158580342543,Oceania,Australia and New Zealand
Fiji,1970,43.1,59.61,4.54,520529,719628345.3,Oceania,Melanesia
French Polynesia,1970,NA,60.18,5.06,110496,955838748.5,Oceania,Polynesia
Kiribati,1970,97.3,49.82,6.05,51181,59543629.28,Oceania,Micronesia
